identifier,name,surname,first_name,birthdate,nationality,language
74-93/03,Hsiu,Walsh,Bennett,1985-10-11,Portuguese,Italian
68-52/94,Hanh,Reyes,Elijah,2003-10-16,Costa Rican,Swati
37-41/89,Wilfredo,Stuart,Thresa,2005-02-03,Cuban,Luxembourgish
66-27/19,Everett,Singleton,Alethia,1999-04-17,Colombian,Guaraní
35-07/51,Coreen,Strickland,Elin,1998-02-12,Brazilian,Indonesian
03-77/32,Agustin,Kelly,Denisse,2003-06-12,Colombian,Tetum
20-49/11,Claude,Gill,Elmo,2013-10-12,Cameroonian,Papiamento
08-86/56,Wes,Elliott,Doloris,1983-08-10,German,Spanish
55-16/56,Theo,Luna,Lanie,2013-12-31,Mexican,Māori
87-10/52,Dave,Fry,Hugh,1994-06-30,Danish,West Frisian
92-29/63,Ray,Clayton,Ebonie,2006-06-26,English,Filipino
61-51/56,Luetta,Leon,Lowell,2019-06-14,Egyptian,French
95-55/96,Abe,Holman,Cristie,2015-12-03,Swiss,Pashto
19-10/29,Melida,Colon,Albert,2006-11-07,Guatemalan,Thai
78-61/09,Elisa,Kirkland,Hunter,2008-12-20,Dutch,Romanian
08-32/25,Jerry,White,Suk,2012-11-12,Estonian,Maltese
30-62/68,Herbert,Lowe,Adrien,2017-07-07,Belgian,Arabic
25-04/68,Hugh,Cross,Syreeta,2022-04-06,Greek,Dutch
38-06/50,Veronika,Frye,Ermelinda,1988-07-22,Canadian,Bengali
63-99/26,Azalee,Slater,Donny,2004-01-13,Uruguayan,Oriya
03-07/56,Stacy,Beach,Leonard,1992-01-27,Greek,Assamese
86-84/67,Barry,Barr,Katrice,2015-03-03,Jordanian,Dzongkha
62-58/01,Silas,Townsend,Darell,2002-02-07,Salvadorian,Finnish
24-32/66,Howard,Grimes,Gerry,2005-02-26,Brazilian,Moldovan
84-46/24,Michale,Lamb,Chere,2021-10-29,Colombian,Croatian
46-56/27,Karly,Potter,Anastacia,2006-11-12,Polish,Danish
18-94/70,Mariko,Cortez,Danilo,2005-06-25,Argentinian,Latvian
08-47/43,Grant,Cox,Jadwiga,2019-07-14,Portuguese,Japanese
62-94/43,Johana,Floyd,Delbert,1985-11-06,Bolivian,Hiri Motu
34-88/34,Elayne,Mays,Oretha,1985-07-01,Japanese,Swati
